id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
117608501,2022-05-18,research,45.3906740109,-95.0954948087,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"279th Ave NW, Belgrade, MN, US",susisimo,3,https://www.inaturalist.org/observations/117608501
117609209,2022-05-17,research,45.4863015066,-93.77534531,39885,Emydoidea blandingii,Blanding's Turtle,Reptilia,species,"Minnesota, US",finlander13,5,https://www.inaturalist.org/observations/117609209
117618156,2022-05-18,research,44.7517659605,-93.1588295102,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Apple Valley, MN 55124, USA",iamsamiam,2,https://www.inaturalist.org/observations/117618156
117620337,2022-05-16,research,47.35096667,-91.20873333,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Tettegouche State Park, Silver Bay, MN, US",camper60,1,https://www.inaturalist.org/observations/117620337
117621286,2022-05-18,research,45.0899471667,-92.842675,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Neal Ave N, Stillwater, MN, US",naturalshore,2,https://www.inaturalist.org/observations/117621286
117630459,2022-05-18,research,44.8774168134,-93.291131046,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Wood Lake Nature Center, Richfield, MN, US",ross55,2,https://www.inaturalist.org/observations/117630459
117631048,2022-05-18,research,45.1246108544,-93.4610451436,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Fernbrook Ln N, Maple Grove, MN, US",pedsdoc,3,https://www.inaturalist.org/observations/117631048
117632036,2022-05-18,research,44.8778016433,-93.2927444744,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Wood Lake Nature Center, Richfield, MN, US",ross55,2,https://www.inaturalist.org/observations/117632036
117633427,2022-05-18,research,44.8447732259,-93.2313262671,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"South Loop District, Bloomington, MN, USA",boreal-trotter,1,https://www.inaturalist.org/observations/117633427
117641438,2022-05-18,research,44.893095,-93.3334116667,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Pamela Park, Edina, MN, US",wildwestnature,3,https://www.inaturalist.org/observations/117641438
117645795,2022-05-18,research,44.6868758944,-93.1681749267,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Elgin Ave, Farmington, MN, US",tyler960,2,https://www.inaturalist.org/observations/117645795
117645834,2022-05-18,research,44.9675083,-92.9884199,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"2659 E 7th St, Maplewood, MN 55119, USA",safechrislaurie,2,https://www.inaturalist.org/observations/117645834
117645840,2022-05-18,research,44.9675083,-92.9884199,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"2659 E 7th St, Maplewood, MN 55119, USA",safechrislaurie,2,https://www.inaturalist.org/observations/117645840
117645904,2022-05-18,research,44.6865741137,-93.1680956133,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Echo Terr, Farmington, MN, US",safrazh,1,https://www.inaturalist.org/observations/117645904
117651293,2022-05-18,research,45.3450783677,-93.2736202934,28557,Storeria occipitomaculata,Red-bellied Snake,Reptilia,species,"Minnesota, US",gutenfrog,2,https://www.inaturalist.org/observations/117651293
117654119,2022-05-18,research,44.8952536334,-94.4259371072,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"MN-7, Hutchinson, MN, US",profspinifera,2,https://www.inaturalist.org/observations/117654119
117660566,2022-05-16,research,46.3394173581,-94.2101624285,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Brainerd, MN 56401, USA",lcplinske,2,https://www.inaturalist.org/observations/117660566
117668011,2022-05-18,research,45.4936656463,-93.6950403688,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Sherburne National Wildlife Refuge, Zimmerman, MN, US",finlander13,2,https://www.inaturalist.org/observations/117668011
117683878,2022-05-12,research,45.137536369,-93.2992954109,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Coon Rapids, MN, USA",jenniferf4,2,https://www.inaturalist.org/observations/117683878
117689111,2022-05-17,research,44.9962143104,-93.1255714595,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Dale St & Dale Court, Roseville, MN 55113, USA",nolankerr,2,https://www.inaturalist.org/observations/117689111
117746259,2022-05-17,research,46.9375489988,-92.0410900039,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"St. Louis County, US-MN, US",owen_fischer,3,https://www.inaturalist.org/observations/117746259
117746265,2022-05-17,research,46.9677438179,-92.06300184,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"St. Louis County, US-MN, US",owen_fischer,2,https://www.inaturalist.org/observations/117746265
